timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-07-11T01:19:59.999Z,BTC-USD,BUY,64144.07,0.156987,Fast MA(9)=64085.76 crossed above Slow MA(21)=64084.13 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63996.73.,raw,LOSS,-23.13
2026-07-11T03:04:59.999Z,BTC-USD,BUY,64082.19,0.156778,Fast MA(9)=64060.62 crossed above Slow MA(21)=64055.34 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64091.71.,raw,WIN,1.49
2026-07-11T04:59:59.999Z,BTC-USD,BUY,64111.34,0.156730,Fast MA(9)=64114.01 crossed above Slow MA(21)=64109.85 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64170.19.,raw,WIN,9.22
2026-07-11T08:34:59.999Z,BTC-USD,BUY,64207.77,0.156638,Fast MA(9)=64162.67 crossed above Slow MA(21)=64160.26 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64111.56.,raw,LOSS,-15.07
2026-07-11T11:24:59.999Z,BTC-USD,BUY,64130.83,0.156591,Fast MA(9)=64127.78 crossed above Slow MA(21)=64118.95 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64081.09.,raw,LOSS,-7.79
2026-07-11T13:29:59.999Z,BTC-USD,BUY,64136.96,0.156455,Fast MA(9)=64136.76 crossed above Slow MA(21)=64132.78 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64326.07.,raw,WIN,29.59
2026-07-11T17:14:59.999Z,BTC-USD,BUY,64163.95,0.156850,Fast MA(9)=64131.18 crossed above Slow MA(21)=64130.08 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64253.92.,raw,WIN,14.11
2026-07-11T20:24:59.999Z,BTC-USD,BUY,64294.17,0.156752,Fast MA(9)=64261.42 crossed above Slow MA(21)=64260.93 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64299.03.,raw,WIN,0.76
2026-07-12T01:19:59.999Z,BTC-USD,BUY,63950.93,0.157605,Fast MA(9)=63819.56 crossed above Slow MA(21)=63819.19 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64031.24.,raw,WIN,12.66
2026-07-12T03:34:59.999Z,BTC-USD,BUY,64141.31,0.157335,Fast MA(9)=64061.60 crossed above Slow MA(21)=64053.91 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63951.15.,raw,LOSS,-29.92
2026-07-12T07:29:59.999Z,BTC-USD,BUY,63819.55,0.157659,Fast MA(9)=63770.92 crossed above Slow MA(21)=63769.37 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 63929.77.,raw,WIN,17.38
2026-07-12T10:14:59.999Z,BTC-USD,BUY,63885.63,0.157768,Fast MA(9)=63907.28 crossed above Slow MA(21)=63898.75 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63827.40.,raw,LOSS,-9.19
2026-07-12T11:39:59.999Z,BTC-USD,BUY,63951.17,0.157463,Fast MA(9)=63864.68 crossed above Slow MA(21)=63858.42 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64044.16.,raw,WIN,14.64
2026-07-12T13:59:59.999Z,BTC-USD,BUY,63980.52,0.157619,Fast MA(9)=63998.60 crossed above Slow MA(21)=63998.03 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 63994.83.,raw,WIN,2.26
2026-07-12T14:54:59.999Z,BTC-USD,BUY,64173.21,0.157181,Fast MA(9)=64019.22 crossed above Slow MA(21)=64005.50 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64030.04.,raw,LOSS,-22.50
2026-07-12T17:24:59.999Z,BTC-USD,BUY,64088.01,0.157039,Fast MA(9)=64105.30 crossed above Slow MA(21)=64104.32 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64034.91.,raw,LOSS,-8.34
2026-07-12T19:04:59.999Z,BTC-USD,BUY,64122.24,0.156825,Fast MA(9)=64072.20 crossed above Slow MA(21)=64063.83 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64180.58.,raw,WIN,9.15
2026-07-12T23:34:59.999Z,BTC-USD,BUY,63812.33,0.157730,Fast MA(9)=63787.36 crossed above Slow MA(21)=63773.52 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64049.13.,raw,WIN,37.35
